delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela 
KONTROLA KAKOVOSTI,435417,LJUBLJANA BTC,6.2,7.21,"Največji trgovec z dodatki za mobilne telefone v Sloveniji v svojo mlado ekipo vabi osebo, ki si želi dela v sproščenem in zabavnem okolju. Delo zajema diagnosticiranje mobilnih naprav. Prednost imajo polnoletni/e kandidati/ke, izkušnje niso potrebne. Prijavo s CV pošlji preko e-Prijave. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
POLNJENJE POLIC,435412,MOZIRJE,6.88,8.0,"Podjetje potrebuje polnoletno, komunikativno in zanesljivo osebo za delo na blagajni in pri polnjenju polic v trgovini. Dela se v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Pošlji prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA,435410,LJUBLJANA,7.5,8.72,"V prijetnem lokalu v Ljubljani (bližina UKC-ja) iščejo prijazne in komunikativne osebe za delo v strežbi. Delo zajema prevzem naročil, strežba pijače in slaščic, skrb za čistočo in higieno v lokalu. Izkušnje so zaželene. Delo je dvoizmensko, delovni čas lokala je med ponedeljkom in petkom, vikendi in prazniki zaprto. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
ANIMATOR/KA,435409,LJUBLJANA ŠIŠKA,8.0,9.3,"V podjetju potrebujejo zanesljivo, polnoletno, komunikativno osebo za vodenje tematskih rojstnodnevnih zabav. Delo poteka v paru, zaradi občasnega kostumiranja pa je primernejše za dekleta. Zabave potekajo popoldan in ob vikendih, po potrebi in dogovoru. Interesenti naj pošljejo življenjepis s prijavo na e-mail ter naj si pred prijavo ogledajo spletno stran. Začetna urna postavka je 9,30 € bruto, z dobrim in samostojnim delom je možno napredovati do postavke 11,62 € bruto. ",1,PO DOGOVORU,POPOLDAN,po dogovoru
PRODAJA,435408,POSTOJNA,6.2,7.21,Trgovina z modnimi oblačili išče zanesljivo osebo za občasno pomoč pri prodaji v popoldanskem času. Pogoj je starost nad 18 let. Za razgovor jih pokličite ali se osebno oglasite v poslovalnici. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
POUČEVANJE,435407,LJUBLJANA,12.91,15.0,"Poučevanje angleščine v gimnazijskem programu. Pogoj za opravljanje dela je ustrezna izobrazba smeri anglistika. Zaželene so izkušnje s poučevanjem, niso pa pogoj. ",1,DO ZAČETKA DECEMBRA 2024,DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435406,LJUBLJANA,7.0,8.13,"Iščejo natančno in odgovorno osebo za administrativna dela ter pomoč pri upravljanju pisarne. Naloge vključujejo urejanje in vzdrževanje dokumentacije, naročanje pisarniškega materiala ter sprejem gostov. Od kandidata/ke pričakujejo osnovno računalniško znanje (Word, Excel) ter dobro znanje slovenskega in angleškega jezika. Cenijo proaktivnost in visoko stopnjo motiviranosti. Delo poteka v dopoldanskem času (po potrebi in dogovoru) . Če te delo zanima, pošlji prijavo z življenjepisom. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435405,LJUBLJANA,6.2,7.21,Potrebujejo štiri študente/ke za administrativna dela - pomoč referentom. Delo je dopoldansko (po potrebi in dogovoru). Začetek dela je po dogovoru. ,4,DO 30. 11. 2024,DOPOLDAN,po dogovoru
STREŽBA,435404,LJUBLJANA,8.5,9.88,Z velikim veseljem sprejmejo prijazne študente/ke za delo v strežbi. Pogoj so izkušnje. ,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
BLAGAJNIK,435403,DOMŽALE,8.61,10.0,"Pomoč v trgovini, predvsem delo na blagajni in polnjenje polic.  Delo poteka med tednom in ob sobotah, po potrebi in dogovoru. Pogoja sta starost nad 18 let in zanesljivost. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
POMOČ PRI ADMINISTRATIVNEM DELU,435402,LJUBLJANA - ČRNUČE,7.15,8.31,"V svojo ekipo vabijo zanesljivega, natančnega in preudarnega študenta/ko za delo na oddelku zagotavljanja kakovosti. Opis delovnih nalog: pomoč na oddelku za zagotavljanje kakovosti (področja: administrativna pomoč, priprava dokumentacije, pregled dokumentacije itd. ). Pričakujejo: višji letnik Fakultete za farmacijo ali druge ustrezne smeri, poznavanje MS Office orodij, dobre organizacijske sposobnosti ter dobro znanje angleškega jezika",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435401,LJUBLJANA  BTC,6.2,7.21,"Sodelovanje na različnih kadrovsko administrativnih delih povezanih z iskanjem in selekcijo kadra. Delo poteka v prijetni mladi ekipi. Ponujajo uvajanje in veliko možnosti za učenje in razvoj. Urnik in nastop dela po dogovoru, glede na željo in čas študenta/ke. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
DELO Z OTROKI,435400,VELENJE,20.0,23.24,"Iščejo študenta ali študentki smeri predšolska vzgoja, športna vzgoja, fizioterapija, delovna terapija ali sorodne smeri z znanji in/ali izkušnjami za vodenje tečaja gibalne vadbe za otroke od 2. do 5. leta starosti. Delo bo potekalo med tednom popoldan in/ali ob sobotah dopoldan, po dogovoru in potrebi. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,7. 9. 2024
POMOČ UPORABNIKOM,435399,LJUBLJANA - ČRNUČE,7.0,8.13,"Podjetje potrebuje osebo za pomoč strankam preko spleta (komunikacija preko e-pošte, messengerja, urejanje reklamacij). Delo je v prijetnem, urejenem okolju z mlado ekipo. Pošlji e prijavo s preteklimi izkušnjami. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
POUČEVANJE,435398,SLOVENSKA BISTRICA,12.0,13.95,Poučevanje tujega jezika - angleščina in/ali nemščina. Gre za poučevanje otrok in odraslih. Za vse ostale informacije jih pokličite. ,5,PO DOGOVORU,POPOLDAN,15. 9. 2024
TEHNIČNA POMOČ,435397,LJUBLJANA,8.5,9.88,"Iščejo študenta/ko za tehnično podporo pri uporabi, ki zajema pomoč pri pripravi blaga in izdelavi krajših poročil ter občasni komunikaciji s strankami. Delo med drugim obsega pregled in analizo prejetih podatkov, pravočasno zagotavljanje povratnih informacij in izdelavo krajših poročil ter pripravo blaga. Pogoji: študent/ka absolvent/ka elektro ali strojne smeri z odlično sposobnostjo ustnega in pisnega sporočanja v slovenskem jeziku. Pošlji prijavo s CV-jem. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
BARISTA,435396,LJUBLJANA,9.5,11.04,"Delo za šankom, kot barista in priprava naročil. Zaželene so izkušnje s pripravo kave.   Pogoj je pogovorno znanje slovenščine in angleščine. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
STREŽBA HRANE IN PIJAČE,435395,LJUBLJANA,8.0,9.3,Strežba hrane in pijače k mizam in pospravljanje miz. Izkušnje niso potrebne. Pogoj je pogovorno znanje slovenščine in angleščine. ,2,PO DOGOVORU,IZMENSKO,po dogovoru
VNOS PODATKOV,435394,BRNIK,8.17,9.5,"Želite postati del najboljše mednarodne ekipe in spoznati, kako poteka delo v najbolj globalnem podjetju na svetu? Potem se pridružite ekipi v njihovem logističnem centru. Delovne naloge: raztovor, natovor, sortiranje in evidentiranje pošiljk in vnos podatkov v sistem. V svoj kolektiv vabijo osebe, ki so do svojega dela odgovorne, natančne in zmožne dela v timu. Delo za daljše občasno sodelovanje, delovnik je fleksibilen. Prijave s CV-jem sprejemajo na e-mail, lahko tudi pokličete. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
DELO V KAVARNI,435393,ŠKOFJA LOKA,9.2,10.69,"Iščejo prijaznega sodelavca/ko za delo v lokalu v prijetnem kolektivu, v prijetni kavarni. Delovnik po dogovoru s podjetjem. Za več informaciji jih pokličite. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POUČEVANJE,435392,KRANJ,13.42,15.6,"Šolski center potrebuje osebo za poučevanje športa. Zaželen/a absolvent/ka fakultete za šport. Plačilo znaša 15,6 € bruto na pedagoško uro. Pošljite prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
ADMINISTRATIVNA DELA,435391,LJUBLJANA,8.0,9.3,"Iščejo zanesljivega študenta/ko za administrativno pomoč v logistiki. Delo vključuje obdelavo in urejanje podatkov, organizacijo in reševanje reklamacij ter komunikacijo s strankami. Nudijo fleksibilen delovni čas in prijetno delovno okolje. Če si organiziran/a, komunikativen/na, obvladaš angleščino in si pripravljen/a na nove izzive, te vabijo, da se pridružiš njihovemu timu!",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
RAČUNOVODSKA DELA,435390,ŠKOJFJA LOKA,8.61,10.0,"V manjšem računovodskem servisu iščejo študenta/ko za pomoč v računovodstvu. Nudijo možnost mentorstva, izobraževanja in možnost kasnejše redne zaposlitve. Pogoji: študij ekonomskih ali poslovnih ved, smeri računovodstvo/revizija. Izkušnje z delom v računovodstvu so zaželene. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435389,LJUBLJANA CENTER,7.12,8.28,"Potrebujejo osebo za delo v referatu fakultete. Pogoji: zanesljivost, komunikativnost, samoiniciativnost, natančnost in starost nad 21 let. Prijavo in CV pošlji na e-naslov. ",1,VSAJ DO 31. 10. 2024,DOPOLDAN,po dogovoru
DELO V FITNESU,435387,VELENJE,coerce,coerce,"Iščejo več oseb za delo na recepciji fitnes centra. Delo bo potekalo izmensko, dopoldan ali popoldan, po dogovoru in potrebi. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO V KUHINJI,435386,VELENJE,coerce,coerce,"Podjetje išče več oseb za pomoč v kuhinji. Delo bo potekalo izmensko: dopoldan ali popoldan, po dogovoru in potrebi. Urna postavka je po dogovoru in je odvisna glede na izkušnje, ki so zaželene, niso pa pogoj. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA,435385,MARIBOR,7.0,8.13,"V ekipo sprejemajo nove čokoholike. V kolikor te veseli delo v strežbi in si ljubitelj/ica čokolade, potem si pravi/a za njih. Ponujajo ugoden delovni čas (nedelje in prazniki zaprto) ter stimulacijo pri urni postavki. Pogoj je starost nad 18 let. Izkušnje so zaželene. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PRAVNE STORITVE,435384,LJUBLJANA,7.12,8.28,Iščejo študenta/ko prava za pomoč v pravni pisarni. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
DOSTAVA,435382,OTOČE,7.5,8.72,"Vodilni slovenski proizvajalec naprav za fizioterapijo, rehabilitacijo in estetsko medicino išče osebo za delo v proizvodnji - pomoč pri pakiranju in dostava na terenu. Pogoj je izpit B kategorije, potrebno je znanje vožnje kombiniranega vozila. ",1,PO DOGOVORU,DOPOLDAN,po dogovoru
MLADINSKE DELAVNICE,435380,LJUBLJANA IN OKOLICA,9.16,10.65,"Iščejo izvajalce/ke pogovornih delavnic na osnovnih in srednjih šolah na različne teme, s katerimi se mladi srečujejo v obdobju odraščanja (medsebojno odnosi, zasvojenost, spolnost, varna raba interneta, različne vrste nasilja. . . ). Izvajalec/ka v majhnih skupinah vodi pogovorne delavnice, ki trajajo dve šolski uri (kratke delavnice) ali štiri šolske ure (dolge delavnice). Plačilo je 10,65 € bruto/45 min. Pogoj so izkušnje. ",3,PO DOGOVORU,PO DOGOVORU,1. 10. 2024
HELPDESK,435379,TRZIN,6.2,7.21,"Iščejo polnoletno osebo za podporo strankam na spletnih trgovinah za več evropskih držav. Delo zajema: livechat/online support na spletni strani (podpora strankam, vnos naročil), odgovarjanje na e-pošto (ticketing sistem), telefonsko podporo (klici in sprejemanje naročil po telefonu), spremembo naročil, FB in Instagram (odgovarjanje na sporočila, komentarje), vnos naročil, izvoz naročil, reklamacije, pakiranje, itd. Pogoj je poznavanje Excel-a in Word-a. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
DELO NA BENCINSKEM SERVISU,435377,ARCLIN IN CELJE,7.0,8.13,Potrebujejo osebo za pomoč na bencinskem servisu. Pogoj je starost nad 18 let. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,9. 9. 2024
BLAGAJNIK,435376,DOMŽALE,8.61,10.0,Trgovsko podjetje potrebuje polnoletno osebo za delo na blagajni. Delovnik je po potrebi in dogovoru. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
DELO V KUHINJI,435375,LJUBLJANA,9.5,11.04,"Sproščen kolektiv vabi osebi, ki radi kuhata in pečeta oz. bi si želeli kuharsko znanje izboljšati ali nadgraditi. Izkušnje niso potrebne, so pa zaželene, prav tako je zaželeno pogovorno znanje slovenskega jezika. Želijo si zanesljivo, skrbno in redoljubno osebo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
POMOČ PRI PRODAJI,435374,LJUBLJANA,6.45,7.5,"Ekipa modne trgovine ZARA BTC potrebuje polnoletne, fleksibilne in resne osebe za pomoč pri delu v trgovini. Delo poteka v dopoldanskem in popoldanskem času med tednom in vikendi, cca 4x na teden, po potrebi in dogovoru. Prijavo pošlji na e-mail, dodaj CV in obvezno dopiši tvojo telefonsko številko ter trgovino, kraj in vrsto dela: ZARA BTC PRODAJA. ",15,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČNIK/CA TRENERJA,435373,ŠMARJE-SAP,9.0,10.46,"Iščejo polnoletno osebo za pomoč trenerju ritmične gimnastike. Potrebno je, da je oseba že prej kaj trenirala. Po potrebi povrnejo stroške prevoza. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,20. 9. 2024
PODPORA,435372,KOPER,8.61,10.0,"Tehnična pomoč pri izvedbi predavanj. Priprava učilnic za izvedbo študija, tehnična podpora zaposlenim, študentom in predavateljem. Kompetence: računalniška pismenost (sposobnost uporabe računalnikov in programske opreme) in pogovorno znanje italijanskega jezika. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
SOBAR/ICA,435371,SOLČAVA,7.0,8.13,"Opis delovnega mesta: čiščenje hotelskih prostorov; pometanje, sesanje, pomivanje tal, pohištva, čiščenje hotelskih sob, postiljanje, čiščenje kopalnic, zamenjava brisač, mila ipd, poročanje recepciji, javljanje okvar, posredovanje informacij o hotelskih storitvah gostom. Pri delu pričakujejo natančnost, vestnost in organiziranost, energičnost in hitrost. Nudijo tudi možnost bivanja in napredovanja. Interesenti naj prijavo oddajo s klikom na gumb Prijavi se na delo ali preko maila. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
SERVISIRANJE RAČUNALNIŠKE OPREME,435368,LJUBLJANA,7.27,8.45,"V servisni ekipi iščejo dodatno okrepitev za servisiranje tiskalnikov oz. multifunkcijskih naprav ter pripravo sistemov za tiskalnike. Urnik dela je po potrebi in dogovoru, vikendi so prosti. Nudijo mentorstvo, delo v prijetnem, mladem kolektivu, kavo in sadje na delovnem mestu. Izkušnje niso potrebne, pričakuje pa se želja po pridobivanju tehničnih znanj, odgovornost in pozitivna naravnanost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ V SERVISU,435366,MARIBOR,7.5,8.72,"Delo obsega prerazporejanje koles med postajališči in občasno pomoč v servisu. Pogoji so vozniški izpit B kategorije najmanj 2 leti, vestnost in prilagodljivost. Poznavanje centra Maribora je zaželeno. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
DELO NA BENCINSKEM SERVISU,435365,BOROVNICA,7.0,8.13,"Iščejo vestnega/o, polnoletnega/o študenta/ko za delo na bencinskem servisu (prodaja blaga, polnjenje in urejanje trgovine in urejanje zunanjosti ter okolice). Pogoj: znanje slovenskega jezika, zaradi komunikacije s strankami. Urnik po dogovoru. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V PROIZVODNJI,435364,LJUBLJANA,7.31,8.5,"V podjetju, ki se ukvarja s proizvodnjo prenapetostnih zaščit, potrebujejo študenta/ki za enostavnejša ročna dela v proizvodnji. Zaželene so ročne spretnosti in resnost pri delu. Pošlji prijavo. ",2,PO DOGOVORU,PO DOGOVORU,po dogovoru
ADMINISTRATIVNA DELA,435362,LJUBLJANA,7.94,9.23,"Iščejo študenta/ko za kontiranje računov lastne rabe, skrb za razkontacijo, odpise osnovnih sredstev in drobnega inventarja, dnevno spremljanje fizične pošte, pomoč pri planiranju stroškov OEM LJ-KR, pomoč pri organizaciji dogodkov na OEM (izobraževanja, uvajalni seminarji, treningi zaposlenih), skrb za kanal Yammer na OEM LJ-KR. Pogoji: sposobnost dela z vsemi orodji (Word, Excel, PowerPoint, Planner, Yammer, Sharepoint, One drive, Teams, Forms). ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
MEDICINSKA SESTRA,435361,LJUBLJANA,9.0,10.46,"Potrebujejo osebo za delo medicinske sestre, dela se v operacijski in v ambulanti Očesnega kirurškega centra. Delo poteka po potrebi in dogovoru, petki in vikendi so prosti. Urnik dela je prilagodljiv študijskim obveznostim, nudijo pa tudi možnost kasnejše redne zaposlitve.  Prednost imajo študentje/ke zdravstvene nege ali absolventje/ke visoke šole za zdravstvo - smer nega. Prijavo in CV pošlji elektronsko. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
KLICNI CENTER,435360,LJUBLJANA,6.45,7.5,"Delo v klicnem centru, delo s strankami s finančnega področja. Zaželen/a študent/ka ekonomije oz. podobne smeri. Delo ne predstavlja iskanja novih strank. Predvidoma se delo opravlja 3 x tedensko oz. po potrebi in dogovoru. Pisne prošnje z izkušnjami se pošlje na elektronski naslov. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POMOČ V PLANINSKEM DOMU,435358,MOJSTRANA - DOLINA VRAT,coerce,coerce,"Pomoč v strežbi v planinskem domu. Bivanje v domu je brezplačno. Pogoji: znanje angleščine, veselje do dela z ljudmi ter starost nad 18 let. Prijavo s krajšim življenjepisom pošljite na e-mail ali pokličite. ",1,DO 30. 9. 2024,IZMENSKO,po dogovoru
DELO V AVTOPRALNICI,435357,TRZIN,7.0,8.13,"Si želiš delo z ljudmi, sproščeno in zabavno okolje v prijetnem kolektivu? Potrebujejo polnoletni osebi za delo na bencinskem servisu (polnjenje polic, delo na blagajni, pomoč in svetovanje strankam ) ter delo v avtopralnici. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA,435356,ARCLIN PRI VOJNIKU,8.0,9.3,"Lokal s prijaznimi gosti v svoj kolektiv vabi odgovorno in komunikativno osebo za pomoč v strežbi za daljše občasno sodelovanje. Pogoj je starost nad 18 let. Delo poteka po dogovoru, po vnaprej dogovorjenem urniku glede na odpiralni čas (ni podaljšanih nočnih ur). Urna postavka znaša 9,30 € bruto, glede na pridnost, promet in predanost delu pa se lahko le-ta poveča. Dober team in dober zaslužek! Informacije in prijave sprejemajo po e-mailu ali telefonu. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,15. 9. 2024
POMOČNIK VZGOJITELJA/VZGOJITELJICE,435353,LJUBLJANA,8.15,9.47,"Iščejo študenta/ko za varstvo in nego predšolskih otrok, skrb za prostor in razdelilno kuhinjo. Od kandidata/ke pričakujejo prilagodljivost, empatičnost, samoiniciativnost, kreativnost, sodelovanje v timu . . . Delo je občasno in po dogovoru. Zaželene izkušnje z delom s predšolskim otroki. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
STREŽBA,435352,KOPER,coerce,coerce,"Picerija išče osebi za delo v strežbi, pomoč v šanku. Zaželene so izkušnje, niso pogoj. Urna postavka je odvisna od znanja posameznika. Pogoj je starost nad 18 let. Plačajo tudi malico.     . ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2. 9. 2024
STREŽBA,435351,LJUBLJANA,8.0,9.3,"Iščejo osebi za strežbo pijače, delo na rajonu, skrb za čistočo. Pogoj je znanje angleščine. Izkušnje so zaželene. ",2,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ V STREŽBI,435350,SVETI JURIJ OB SCAVNICI,7.0,8.13,"Iščejo osebe za pomoč v strežbi v restavraciji. Izkušnje niso pogoj, so pa zaželene. Potrebna je le volja do dela in želja po učenju. ",3,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ V KUHINJI,435349,SVETI JURIJ OB ŠČAVNICI,7.0,8.13,"Iščejo osebe za predpripravo in pomoč v kuhinji, sodelovanje pri pripravi jedi, čiščenje delovnih površin. Pričakujejo dinamične, skrbne, komunikativne osebe, veselje do timskega dela, pripravljenost za učenje, prilagajanje in delo v ekipi. ",4,PO DOGOVORU,IZMENSKO,po dogovoru
